age,balance,day,campaign,job,month,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default_no,default_yes,housing_no,housing_yes,loan_no,loan_yes,contact_cellular,contact_telephone,contact_unknown,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,y
57,63,5,1,9,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
25,-7,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
36,506,5,1,0,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
37,0,5,1,0,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,2586,5,1,7,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
50,49,5,2,4,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
60,104,5,1,1,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
58,96,5,1,5,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
36,-171,5,1,0,8,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
58,-364,5,1,6,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,0,5,2,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
55,0,5,1,9,8,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
29,0,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
54,1291,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
48,-244,5,1,4,8,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
32,0,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
24,-103,5,1,9,8,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
38,243,5,1,2,8,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
38,424,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
47,306,5,1,1,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
40,24,5,1,1,8,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
32,0,5,1,0,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
57,249,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,790,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
49,154,5,1,1,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
60,100,5,1,5,8,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
59,59,5,1,4,8,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
55,1205,5,2,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
31,25,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
54,282,5,1,4,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
55,23,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
43,1937,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,384,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,582,5,1,1,8,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
55,91,5,1,7,8,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
49,0,5,1,7,8,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
55,1,5,1,7,8,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0
45,206,5,1,0,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
47,164,5,1,7,8,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
42,690,5,1,9,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
46,137,5,1,6,8,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
51,173,5,2,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
46,16,5,2,4,8,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
57,486,5,2,5,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
42,50,5,1,4,8,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
30,152,5,2,9,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
60,290,5,1,0,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
60,54,5,1,1,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
57,-37,5,1,2,8,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
36,101,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
55,383,5,1,1,8,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
60,81,5,1,5,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,0,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
46,229,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,-674,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,90,5,1,1,8,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
52,128,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
59,179,5,3,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
27,0,5,1,9,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,54,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
47,151,5,1,9,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
34,61,5,1,0,8,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
59,30,5,1,5,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
29,31,5,1,7,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
46,79,5,1,9,8,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
56,-34,5,2,6,8,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
36,448,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
59,81,5,1,5,8,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,144,5,2,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
41,351,5,1,0,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,-67,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
59,262,5,1,4,8,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
57,0,5,1,9,8,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
56,56,5,1,9,8,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
51,26,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
34,3,5,3,0,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
43,41,5,2,7,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
52,7,5,1,9,8,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
33,105,5,2,9,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
29,818,5,1,0,8,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
34,-16,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
31,0,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
55,2476,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1
32,217,5,1,0,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
38,1685,5,1,9,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
55,802,5,2,0,8,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
28,0,5,2,10,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
23,94,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
32,0,5,1,9,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
43,0,5,1,7,8,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
32,517,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
46,265,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,947,5,1,3,8,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
34,3,5,1,6,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
57,42,5,1,10,8,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
37,37,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
59,57,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,22,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
56,8,5,2,1,8,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
48,293,5,1,10,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
43,3,5,2,7,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
54,348,5,2,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
51,-19,5,2,1,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
26,0,5,2,8,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,18,5,1,4,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
50,139,5,2,9,8,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
41,0,5,2,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
51,1883,5,1,1,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
60,216,5,1,5,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
52,782,5,3,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
48,904,5,2,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
48,1705,5,1,7,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,47,5,1,9,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
47,176,5,2,7,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
40,1225,5,5,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
45,86,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
26,82,5,1,0,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
52,271,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
54,1378,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
50,0,5,3,1,8,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
44,1357,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
53,19,5,1,2,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
35,434,5,1,5,8,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
60,92,5,1,0,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,1151,5,1,0,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
48,41,5,2,10,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
34,51,5,2,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
54,214,5,2,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
31,37,5,1,7,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
38,253,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
36,211,5,2,0,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
58,235,5,1,5,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
34,53,5,1,1,8,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
31,0,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
51,2127,5,1,5,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,377,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
55,73,5,2,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
42,445,5,1,0,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
34,243,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,307,5,2,1,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
38,155,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
50,173,5,1,9,8,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
43,400,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
61,1428,5,2,1,8,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
47,219,5,1,0,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
48,7,5,1,6,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,575,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
35,298,5,2,8,8,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
35,0,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
41,176,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
41,517,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,257,5,1,7,8,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
42,56,5,1,5,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
38,-390,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,330,5,2,5,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
59,195,5,2,3,8,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
36,301,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
54,-41,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
40,483,5,1,9,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
47,28,5,2,11,8,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
53,13,5,3,10,8,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
46,965,5,1,3,8,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
39,378,5,2,4,8,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
40,219,5,1,10,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
28,324,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
35,-69,5,1,2,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
55,0,5,1,5,8,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
48,278,5,2,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
58,1065,5,3,4,8,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,34,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
36,1033,5,2,1,8,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
53,1467,5,1,7,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
47,-12,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,1827,5,1,1,8,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
55,627,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
45,25,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,315,5,2,0,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
37,0,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
44,66,5,1,0,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
49,-9,5,1,1,8,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
46,349,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
38,0,5,1,0,8,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
43,434,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
49,3237,5,3,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
42,275,5,2,4,8,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
22,0,5,2,1,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
40,207,5,1,4,8,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,483,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
49,428,5,1,0,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,0,5,1,1,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
34,0,5,1,7,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
33,140,5,1,9,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
50,297,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,279,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
59,901,5,3,2,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
30,2573,5,2,9,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
36,143,5,1,7,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
40,475,5,2,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
53,70,5,2,1,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
34,318,5,2,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
37,275,5,1,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
42,742,5,3,4,8,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
41,236,5,1,2,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
30,25,5,2,8,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
37,600,5,1,4,8,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,-349,5,2,0,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
41,183,5,2,1,8,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
40,0,5,1,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
42,0,5,2,4,8,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1
57,1078,5,4,9,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
56,155,5,3,2,8,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
37,190,5,2,0,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
59,319,5,3,5,8,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
39,-185,5,3,7,8,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
49,47,5,2,7,8,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
38,570,5,2,7,8,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
36,19,5,2,6,8,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
50,61,5,3,1,8,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
41,-62,5,2,0,8,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
